,clk_period_design,wns,sim_clk,decoders,decoders_per_subunit,C,vth,addon,tech,design_name,power_folder,is_nominal_gf22,is_ssg_asap7,power_type,power_clock_network,power_register,power_combinational,power_net_switching,power_cell_internal,power_cell_leakage,power_total,power_lut_int_power,power_lut_switch_power,power_lut_leak_power,power_lut_total_power,power_fp_adder_int_power,power_fp_adder_switch_power,power_fp_adder_leak_power,power_fp_adder_total_power,power_encoder_4_int_power,power_encoder_4_switch_power,power_encoder_4_leak_power,power_encoder_4_total_power,power_encoder_int_power,power_encoder_switch_power,power_encoder_leak_power,power_encoder_total_power,power_decoder_int_power,power_decoder_switch_power,power_decoder_leak_power,power_decoder_total_power,instance_count,area,area_lut,instance_count_lut,area_fp_adder,instance_count_fp_adder,area_encoder_4,instance_count_encoder_4,area_encoder,instance_count_encoder,area_decoder,instance_count_decoder,utilization
0,1700,16,1716,8,4,16,SL,,22,22_8_4_16_1700_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_16_1700_TT_SL-1716-execute,False,False,execute,1.422e-03,6.646e-04,3.506e-03,3.007e-03,2.007e-03,5.788e-04,5.593e-03,6.21e-05,0.000149,5.6e-05,0.000267,4.98e-05,9.44e-05,6.4e-06,0.000151,0.000412,0.000439,6.36e-05,0.000915,9.47e-05,9.81e-05,1.58e-05,0.000209,0.000179,0.000256,6.42e-05,0.000498,95497,61579.116,6011.1,8869.0,609.423,1544.0,6905.933,10041.0,1713.055,2488.0,6803.564,10595.0,0.72746
1,1700,16,1716,8,4,16,SL,,22,22_8_4_16_1700_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_16_1700_TT_SL-1716-write,False,False,write,1.945e-03,4.841e-04,8.140e-04,1.249e-03,1.413e-03,5.813e-04,3.243e-03,3.56e-05,9.03e-05,5.79e-05,0.000184,0.0,0.0,6.37e-06,6.37e-06,0.000347,0.000113,6.08e-05,0.000521,7.82e-05,7.94e-06,1.51e-05,0.000101,0.000113,8.42e-05,6.68e-05,0.000264,95497,61579.116,6011.1,8869.0,609.423,1544.0,6905.933,10041.0,1713.055,2488.0,6803.564,10595.0,0.72746
2,1700,216,1916,8,4,16,SL,,22,22_8_4_16_1700_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_16_1700_TT_SL-1916-execute,False,False,execute,1.276e-03,6.373e-04,3.157e-03,2.693e-03,1.798e-03,5.788e-04,5.070e-03,5.56e-05,0.000134,5.6e-05,0.000245,4.46e-05,8.46e-05,6.4e-06,0.000136,0.000369,0.000394,6.36e-05,0.000826,8.48e-05,8.78e-05,1.58e-05,0.000188,0.00016,0.000229,6.42e-05,0.000453,95497,61579.116,6011.1,8869.0,609.423,1544.0,6905.933,10041.0,1713.055,2488.0,6803.564,10595.0,0.72746
3,1700,216,1916,8,4,16,SL,,22,22_8_4_16_1700_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_16_1700_TT_SL-1916-write,False,False,write,1.744e-03,4.784e-04,7.432e-04,1.119e-03,1.265e-03,5.813e-04,2.965e-03,3.19e-05,8.09e-05,5.79e-05,0.000171,0.0,0.0,6.37e-06,6.37e-06,0.000311,0.000101,6.08e-05,0.000473,7e-05,7.11e-06,1.51e-05,9.22e-05,0.000101,7.54e-05,6.68e-05,0.000243,95497,61579.116,6011.1,8869.0,609.423,1544.0,6905.933,10041.0,1713.055,2488.0,6803.564,10595.0,0.72746
4,1700,20,1720,8,4,16,SL,nominal,22,22_8_4_16_1700_TT_nominal_SL,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_16_1700_TT_nominal_SL-1720-execute,True,False,execute,2.196e-03,1.144e-03,5.097e-03,4.298e-03,3.069e-03,1.070e-03,8.437e-03,0.000111,0.000233,0.000107,0.00045,5.44e-05,0.00011,8.17e-06,0.000172,0.000674,0.000696,0.000121,0.00149,0.000156,0.000149,3e-05,0.000334,0.000269,0.000361,0.000118,0.000749,94797,60382.833,6014.228,8871.0,455.936,1449.0,6909.793,10053.0,1714.053,2491.0,6645.151,10503.0,0.7203499999999999
5,1700,20,1720,8,4,16,SL,nominal,22,22_8_4_16_1700_TT_nominal_SL,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_16_1700_TT_nominal_SL-1720-write,True,False,write,3.010e-03,9.258e-04,1.314e-03,1.903e-03,2.261e-03,1.086e-03,5.250e-03,6.29e-05,0.000144,0.000112,0.000319,0.0,0.0,8e-06,8e-06,0.000555,0.000204,0.000116,0.000875,0.000125,1.26e-05,2.88e-05,0.000166,0.000186,0.000149,0.000125,0.00046,94797,60382.833,6014.228,8871.0,455.936,1449.0,6909.793,10053.0,1714.053,2491.0,6645.151,10503.0,0.7203499999999999
6,1700,220,1920,8,4,16,SL,nominal,22,22_8_4_16_1700_TT_nominal_SL,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_16_1700_TT_nominal_SL-1920-execute,True,False,execute,1.970e-03,1.107e-03,4.593e-03,3.850e-03,2.750e-03,1.070e-03,7.670e-03,9.93e-05,0.000209,0.000107,0.000414,4.87e-05,9.84e-05,8.17e-06,0.000155,0.000604,0.000623,0.000121,0.00135,0.000139,0.000133,3e-05,0.000303,0.000241,0.000323,0.000118,0.000683,94797,60382.833,6014.228,8871.0,455.936,1449.0,6909.793,10053.0,1714.053,2491.0,6645.151,10503.0,0.7203499999999999
7,1700,220,1920,8,4,16,SL,nominal,22,22_8_4_16_1700_TT_nominal_SL,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_16_1700_TT_nominal_SL-1920-write,True,False,write,2.700e-03,9.171e-04,1.200e-03,1.705e-03,2.026e-03,1.086e-03,4.817e-03,5.64e-05,0.000129,0.000112,0.000297,0.0,0.0,8e-06,8e-06,0.000497,0.000182,0.000116,0.000796,0.000112,1.13e-05,2.88e-05,0.000152,0.000166,0.000134,0.000125,0.000425,94797,60382.833,6014.228,8871.0,455.936,1449.0,6909.793,10053.0,1714.053,2491.0,6645.151,10503.0,0.7203499999999999
8,1800,24,1824,8,4,16,SL,,22,22_8_4_16_1800_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_16_1800_TT_SL-1824-execute,False,False,execute,1.304e-03,6.348e-04,3.247e-03,2.738e-03,1.872e-03,5.753e-04,5.186e-03,5.68e-05,0.000142,5.6e-05,0.000254,4.26e-05,8.41e-05,5.66e-06,0.000132,0.000389,0.000408,6.36e-05,0.000861,8.99e-05,9.19e-05,1.58e-05,0.000198,0.000164,0.000244,6.36e-05,0.000472,95651,61471.887,6025.743,8887.0,575.278,1550.0,6912.655,10034.0,1715.584,2489.0,6782.73,10622.0,0.72698
9,1800,24,1824,8,4,16,SL,,22,22_8_4_16_1800_TT_SL,/usr/scratch2/vilan2/janniss/outputs/power/22_8_4_16_1800_TT_SL-1824-write,False,False,write,1.795e-03,4.806e-04,7.798e-04,1.141e-03,1.336e-03,5.780e-04,3.055e-03,3.11e-05,7.86e-05,5.78e-05,0.000168,0.0,0.0,5.68e-06,5.68e-06,0.000328,0.000107,6.08e-05,0.000496,7.44e-05,7.8e-06,1.51e-05,9.74e-05,0.000107,9.78e-05,6.63e-05,0.000271,95651,61471.887,6025.743,8887.0,575.278,1550.0,6912.655,10034.0,1715.584,2489.0,6782.73,10622.0,0.72698
